PERF
ARM_Mali-Midgard_TOTAL_ALLOC_PAGES
ARM_Mali-Midgard_fragment
ARM_Mali-Midgard_opencl
ARM_Mali-Midgard_vertex
ARM_Mali-T86x_ARITH_WORDS
ARM_Mali-T86x_COMPUTE_ACTIVE
ARM_Mali-T86x_COMPUTE_THREADS
ARM_Mali-T86x_FRAG_ACTIVE
ARM_Mali-T86x_FRAG_CYCLES_FPKQ_ACTIVE
ARM_Mali-T86x_FRAG_NUM_TILES
ARM_Mali-T86x_FRAG_THREADS
ARM_Mali-T86x_FRAG_THREADS_LZS_KILLED
ARM_Mali-T86x_FRAG_THREADS_LZS_TEST
ARM_Mali-T86x_GPU_ACTIVE
ARM_Mali-T86x_IRQ_ACTIVE
ARM_Mali-T86x_JS0_ACTIVE
ARM_Mali-T86x_JS0_TASKS
ARM_Mali-T86x_JS1_ACTIVE
ARM_Mali-T86x_JS2_ACTIVE
ARM_Mali-T86x_L2_EXT_AR_STALL
ARM_Mali-T86x_L2_EXT_READ_BEATS
ARM_Mali-T86x_L2_EXT_WRITE_BEATS
ARM_Mali-T86x_L2_EXT_W_STALL
ARM_Mali-T86x_LS_ISSUES
ARM_Mali-T86x_LS_WORDS
ARM_Mali-T86x_TEX_ISSUES
ARM_Mali-T86x_TEX_WORDS
ARM_Mali-T86x_TI_LINES
ARM_Mali-T86x_TI_POINTS
ARM_Mali-T86x_TI_PRIM_CLIPPED
ARM_Mali-T86x_TI_PRIM_CULLED
ARM_Mali-T86x_TI_TRIANGLES
ARM_Mali-T86x_TRIPIPE_ACTIVE
ARMv8_Cortex_A53_ccnt
ARMv8_Cortex_A53_cnt0
ARMv8_Cortex_A53_cnt1
ARMv8_Cortex_A53_cnt2
ARMv8_Cortex_A53_cnt3
ARMv8_Cortex_A53_cnt4
ARMv8_Cortex_A53_cnt5
ARMv8_Cortex_A53_irq
ARMv8_Cortex_A53_system
ARMv8_Cortex_A53_user
ARMv8_Cortex_A72_ccnt
ARMv8_Cortex_A72_cnt0
ARMv8_Cortex_A72_cnt1
ARMv8_Cortex_A72_cnt2
ARMv8_Cortex_A72_cnt3
ARMv8_Cortex_A72_cnt4
ARMv8_Cortex_A72_cnt5
ARMv8_Cortex_A72_system
ARMv8_Cortex_A72_user
Linux_block_rq_rd
Linux_cpu_wait_contention
Linux_meminfo_memfree
Linux_meminfo_memused2
PERF_COUNT_SW_CONTEXT_SWITCHES
PERF_COUNT_SW_CPU_CLOCK
PERF_COUNT_SW_CPU_MIGRATIONS
PERF_COUNT_SW_PAGE_FAULTS
PERF_COUNT_SW_TASK_CLOCK
ftrace_power_cpu_idle
ARM_Mali-CONST_BUS_WIDTH_BITS
ARM_Mali-CONST_L2_SLICE_COUNT
ARM_Mali-CONST_SHADER_CORE_COUNT
