PERF_COUNT_SW_CPU_CLOCK
ARM_Mali-T86x_TI_PRIM_CLIPPED
ARM_Mali-T86x_FRAG_ACTIVE
ARMv8_Cortex_A72_cnt0
ARMv8_Cortex_A72_cnt4
ARMv8_Cortex_A53_ccnt
ARM_Mali-Midgard_vertex
ARM_Mali-T86x_TI_TRIANGLES
ARM_Mali-T86x_FRAG_CYCLES_FPKQ_ACTIVE
ARMv8_Cortex_A72_cnt1
ARM_Mali-T86x_JS1_ACTIVE
ARM_Mali-T86x_L2_EXT_W_STALL
ARM_Mali-T86x_COMPUTE_ACTIVE
ARMv8_Cortex_A53_system
ARM_Mali-T86x_JS0_TASKS
ARMv8_Cortex_A53_irq
Linux_block_rq_rd
ARMv8_Cortex_A53_cnt3
Linux_meminfo_memused2
ARM_Mali-T86x_LS_WORDS
ARM_Mali-T86x_L2_EXT_AR_STALL
ARMv8_Cortex_A53_cnt5
ARM_Mali-T86x_L2_EXT_WRITE_BEATS
ARM_Mali-T86x_L2_EXT_READ_BEATS
ARM_Mali-T86x_JS2_ACTIVE
ARM_Mali-T86x_TEX_WORDS
ARM_Mali-T86x_LS_ISSUES
ARMv8_Cortex_A53_cnt2
ARMv8_Cortex_A53_cnt1
PERF_COUNT_SW_CPU_MIGRATIONS
ARM_Mali-T86x_FRAG_THREADS_LZS_KILLED
ARM_Mali-T86x_TEX_ISSUES
ARM_Mali-T86x_COMPUTE_THREADS
PERF_COUNT_SW_TASK_CLOCK
ARMv8_Cortex_A72_user
ARMv8_Cortex_A53_user
ARM_Mali-T86x_FRAG_THREADS_LZS_TEST
ARMv8_Cortex_A72_system
Linux_meminfo_memfree
PERF_COUNT_SW_PAGE_FAULTS
ftrace_power_cpu_idle
ARM_Mali-T86x_FRAG_NUM_TILES
ARM_Mali-T86x_JS0_ACTIVE
ARM_Mali-Midgard_fragment
ARMv8_Cortex_A72_cnt3
Linux_cpu_wait_contention
PERF_COUNT_SW_CONTEXT_SWITCHES
ARM_Mali-T86x_TI_PRIM_CULLED
ARM_Mali-T86x_FRAG_THREADS
ARM_Mali-T86x_TI_LINES
ARM_Mali-T86x_GPU_ACTIVE
ARM_Mali-Midgard_TOTAL_ALLOC_PAGES
ARMv8_Cortex_A53_cnt4
ARMv8_Cortex_A72_ccnt
ARM_Mali-T86x_ARITH_WORDS
ARM_Mali-T86x_TI_POINTS
ARM_Mali-T86x_TRIPIPE_ACTIVE
ARM_Mali-Midgard_opencl
ARMv8_Cortex_A72_cnt2
ARMv8_Cortex_A53_cnt0
ARMv8_Cortex_A72_cnt5
ARM_Mali-T86x_IRQ_ACTIVE
