, 1329175829, 579080549, 497982982, 127248705, 563888001, 192237076, 52386829, 22338510, 157055876, 169556504, 283076843, 45176693, 297026113, 56389746, 20767956, 11470538, 8311320, 7052452, 2543859, 1898128, 14255571, 4835129, 2044434, 991605, 47451583, 27996172, 86396606, 12984720, 167658049, 23988265, 11348653, 6283894, 1805543, 1376762, 542025, 350793, 2787718, 662404, 275350, 109035, 3472920, 2622599, 1153765, 777087, 6411582, 1201683, 252904, 117337, 335948, 854207, 195908, 172521, 1442016, 553722, 232593, 106059, 48384000000, 48384000000, 48384000000, 48384000000, 66954000000, 66954000000, 66954000000, 66954000000, 66, 31, 26, 6, 22, 8, 3, 1, 6172, 739, 958, 586, 1435, 712, 163, 64, 0, 643072, 597468102656, 280518344704, 0, 0, 957931520, 18446744072751620096, 10307796992, 39142864, 148107, 41056663, 1540521, 1913801, 0, 0, 0, 0, 74, 0, 20831, 1520883, 296, 20498, 20868, 0, 0, 40976542, 500048, 35047538, 3466366, 1400015, 673664, 255599, 3983026, 5099939, 968361, 46093, 5893, 10244228, 175425, 117502, 36287, 21628, 361850, 35116334, 35084582, 30221714, 7595515, 7688093, 7595509, 14406876, 246379, 1557278, 77712, 19251020, 20818888, 7293546, 0, 3545, 95062, 5174, 876, 93900, 6761960, 11032, 3316421, 28546, 3959557, 6245, 0, 20951633, 0, 0, 49241, 49052, 4177705, 10409437
, 8231, 3426, 3435, 2327, 5374, 3001, 1630, 1419, 7437, 2004, 2221, 1851, 2700, 1977, 1428, 1329, 7437, 2004, 2221, 1851, 2700, 1977, 1428, 1329, 7437, 2004, 2221, 1851, 2700, 1977, 1428, 1329, 7437, 2004, 2221, 1851, 2700, 1977, 1428, 1329, 7437, 2004, 2221, 1851, 2693, 1976, 1428, 1329, 7429, 1993, 2221, 1851, 2700, 1977, 1428, 1329, 33, 33, 33, 33, 38, 38, 38, 38, 0, 0, 0, 0, 0, 0, 0, 0, 7436, 2003, 2222, 1850, 2699, 1976, 1427, 1328, 0, 20, 3945, 65, 0, 0, 65, 65, 65, 797, 797, 797, 797, 797, 0, 0, 0, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797
131278959355,131278998938,131279288521
, 1711233, 2305327, 1713836, 38000, 212874, 23882, 25258, 24842, 96254, 365010, 313218, 14455, 53045, 14617, 14979, 13965, 5453, 36459, 18621, 906, 4743, 2414, 2507, 2520, 30076, 87598, 131745, 5665, 30027, 7262, 7465, 7069, 1275, 6465, 4245, 93, 526, 79, 93, 102, 2424, 3679, 8884, 722, 1923, 594, 585, 554, 739, 8091, 4230, 72, 667, 119, 117, 115, 0, 0, 0, 0, 0, 0, 0, 0, 34, 100, 35, 0, 5, 0, 0, 0, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 16973824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 7, 10, 2, 4, 2, 2, 2, 3, 3, 4, 2, 4, 2, 2, 2, 3, 3, 4, 2, 4, 2, 2, 2, 3, 3, 4, 2, 4, 2, 2, 2, 3, 3, 4, 2, 4, 2, 2, 2, 3, 4, 4, 2, 4, 2, 2, 2, 3, 4, 4, 2, 4, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 2, 4, 2, 2, 2, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
131280060917,131280099980,131280232792
, 1708635, 461702, 1630947, 338813, 560632, 600993, 10022, 9640, 378189, 95887, 959665, 70042, 69501, 98979, 7268, 6974, 12053, 41198, 105211, 6832, 7778, 10598, 639, 530, 59256, 111559, 292328, 26877, 44708, 59292, 3654, 3495, 1784, 1005, 15465, 1670, 1494, 2136, 37, 39, 8022, 2312, 5425, 3532, 3802, 4429, 29, 35, 840, 555, 1504, 835, 2101, 2310, 28, 26, 1844000000, 1844000000, 1844000000, 1844000000, 0, 0, 0, 0, 98, 29, 100, 19, 29, 29, 0, 0, 4, 4, 1, 5, 1, 3, 0, 0, 0, 0, 661549056, 0, 0, 0, 0, 0, 0, 205413, 1194, 205380, 1902, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48572, 264, 48492, 80, 0, 0, 0, 12103, 40, 0, 0, 0, 12143, 359, 308, 26, 29, 0, 203013, 205387, 118976, 126319, 127182, 126319, 156951, 2678, 0, 1192, 60498, 120976, 60474, 0, 0, 1369, 0, 0, 803, 30263, 118, 3142, 366, 8527, 0, 0, 122031, 0, 0, 397, 397, 60474, 60477
, 10, 6, 6, 10, 4, 8, 1, 1, 6, 6, 2, 6, 2, 4, 1, 1, 6, 6, 2, 6, 2, 4, 1, 1, 6, 9, 2, 6, 2, 4, 1, 1, 6, 9, 2, 6, 2, 4, 1, 1, 6, 5, 2, 6, 2, 4, 1, 1, 6, 5, 2, 6, 2, 4, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 2, 6, 2, 4, 1, 1, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
131281147376,131281159355,131281315605
, 1827635, 15664, 1997918, 435189, 546641, 134842, 267288, 74765, 244018, 6447, 549239, 219024, 67137, 37711, 62726, 30744, 2330, 335, 67263, 6648, 9007, 7086, 10327, 4485, 12821, 2569, 172296, 95765, 43077, 23383, 40961, 18719, 497, 70, 11253, 1353, 1849, 665, 1082, 572, 1215, 181, 10810, 3564, 3556, 1837, 2204, 1285, 362, 14, 4627, 532, 1701, 714, 1254, 458, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 100, 19, 26, 6, 12, 3, 2, 0, 1, 2, 2, 2, 2, 2, 0, 0, 1121275904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
